## GABRIEL DOMINGUEZ PHD THESIS (SUBMITTED TO MACQUARIE UNVERSITY 2017)
## SHELL TRACE ELEMENT RATIOS
Dist_mm,MgCaRatio,BaCaRatio,SrCaRatio
0.868505,0.262143027,0.005756028,3.855574082
0.885195,0.275472569,0.008090093,4.439284939
0.901885,0.458421342,0.003909237,4.543507033
0.918605,0.287937176,0.003984819,4.009146251
0.935295,0.355648865,0.001934052,3.684868567
0.951985,0.263881104,0.003804,3.092979176
0.968705,0.273432851,0.006502591,4.334726912
0.985445,0.191499726,0.002277563,2.978078539
1.002135,0.294266109,0.004683683,3.734502415
1.018855,0.313586279,0.003310007,3.846843917
1.035545,0.298907222,0.005145739,3.285399003
1.052235,0.502796928,0.003664228,3.385303263
1.068955,0.332431308,0.004753875,3.174987174
1.085645,0.331636869,0.003372288,3.608802376
1.102335,0.246619779,0.004475059,3.492235016
1.11905,0.341375089,0.004463069,3.448170392
1.135745,0.231561169,0.004649972,3.440864766
1.15246,0.37502034,0.003198371,3.700573432
1.16915,0.259750467,0.005343014,3.786296398
1.18584,0.31992628,0.001711112,3.22035086
1.20256,0.213774528,0.00236099,3.572881905
1.21925,0.212782469,0.00210834,3.146699248
1.23594,0.190466978,0.002890358,2.975936846
1.25266,0.238450946,0.001660663,3.573032247
1.26935,0.359086202,0.002697942,3.826023594
1.28604,0.205301285,0.003876012,2.934802716
1.302755,0.235129056,0.001499688,3.592383535
1.31945,0.184861458,0.001577666,3.372366835
1.33614,0.312711312,0.003983196,4.248066341
1.352855,0.222536166,0.00152974,3.50552131
1.36955,0.343216664,0.003657891,4.120799947
1.38629,0.163893221,0.004074429,3.043779395
1.403005,0.211513595,0.003604373,3.50098849
1.4197,0.219585865,0.005165893,3.064173161
1.43639,0.192074891,0.006396353,3.262418555
1.453105,0.20190374,0.00354958,3.915903065
1.469795,0.19885007,0.002170284,2.988527218
1.48649,0.187694248,0.004018843,3.177241096
1.503205,0.160291177,0.003926966,3.737239574
1.519895,0.267693031,0.007580022,3.3151129
1.53659,0.220135443,0.004699749,3.715911785
1.553305,0.257715768,0.006880473,4.051811793
1.569995,0.154236819,0.00628444,3.570285628
1.586685,0.182722322,0.004116366,2.942325598
1.603405,0.222936051,0.004513242,3.731735098
1.620095,0.236878121,0.004063976,4.03903152
1.636785,0.135459692,0.00445884,2.47027473
1.653505,0.211606848,0.000757894,3.868750607
1.670195,0.24308967,0.001462362,3.540922064
1.686885,0.167874264,0.000285683,3.73878735
1.7036,0.203904658,0.002518181,3.066228492
1.720295,0.385421578,0.00030642,3.856128583
1.73701,0.378923902,0.001543771,3.525492091
1.7537,0.539044908,0.004358892,4.238619313
1.77039,0.505658138,0.001872803,3.96160511
1.787135,0.578919392,0.002577431,4.476691687
1.80385,0.48324615,0.000320201,4.136298996
1.820545,0.700394356,0.001057257,3.336556836
1.83726,0.55551996,0.000585191,3.410931953
1.85395,0.691818072,0.001805206,4.200806479
1.87064,0.677529854,0.002361815,3.564987861
1.88736,0.970178259,0.002879527,4.30463171
