taxonName	siteName	x_mm	y_mm	z_mm	mass_mg
Abranda jeanae	1st	17.09	11.91	2.59	175.07
Abranda jeanae	1st	14.61	10.42	2.27	96.83
Abranda jeanae	1st	15.46	11.05	2.54	142.29
Abranda jeanae	1st	9.62	6.44	1.39	23.64
Abranda jeanae	1st	16.69	11.35	2.55	139.26
Abranda jeanae	1st	16.78	11.94	2.68	155.65
Abranda jeanae	1st	16.06	11.57	2.19	157.59
Abranda jeanae	1st	16.66	11.51	2.63	217.60
Abranda jeanae	1st	7.22	4.91	1.06	11.10
Abranda jeanae	1st	12.17	8.79	1.85	57.66
Abranda jeanae	1st	14.16	9.89	2.09	85.13
Pinguitellina robusta	1st	11.58	9.81	3.18	181.69
Pinguitellina robusta	1st	7.59	6.23	1.64	49.45
Abranda jeanae	1st	8.56	5.85	1.27	16.14
Abranda jeanae	1st	10.56	7.14	1.53	27.52
Abranda jeanae	1st	8.02	5.56	1.18	12.96
Abranda jeanae	1st	9.91	6.62	1.45	24.84
Abranda jeanae	1st	12.01	8.56	1.98	52.25
Pinguitellina robusta	1st	4.94	3.98	1.13	11.57
Exotica clathrata	1st	7.14	3.69	1.06	11.92
Abranda jeanae	1st	14.87	10.38	2.08	94.16
Abranda jeanae	1st	15.28	11.00	2.39	103.86
Abranda jeanae	1st	10.98	7.64	1.64	33.84
Abranda jeanae	1st	9.17	6.12	1.44	18.94
Abranda jeanae	1st	11.53	7.91	1.64	37.33
Abranda jeanae	1st	8.04	5.50	1.21	11.92
Abranda jeanae	1st	8.46	5.78	1.25	15.52
Abranda jeanae	1st	6.52	4.33	1.15	7.52
Abranda jeanae	1st	7.40	4.88	0.95	9.67
Abranda jeanae	1st	5.02	3.59	0.76	3.58
Pinguitellina robusta	1st	9.99	8.68	2.59	125.57
Pinguitellina robusta	1st	13.27	11.37	3.51	249.25
Pinguitellina robusta	1st	10.91	9.17	2.34	124.18
Pinguitellina robusta	1st	9.22	7.56	1.95	79.39
Exotica clathrata	1st	7.43	3.85	1.11	11.05
Pinguitellina robusta	1st	7.40	5.95	1.79	56.56
Pinguitellina robusta	1st	7.74	6.23	1.69	43.19
Pinguitellina robusta	1st	8.54	7.28	2.08	77.99
Abranda jeanae	1st	16.67	11.76	2.49	172.69
Abranda jeanae	1st	20.81	14.84	3.31	344.04
Abranda jeanae	1st	16.97	11.70	2.56	165.72
Abranda jeanae	1st	8.38	5.45	1.28	18.21
Abranda jeanae	1st	11.22	7.76	1.71	40.76
Exotica clathrata	1st	12.77	7.33	1.78	75.52
Exotica clathrata	1st	11.91	6.34	1.72	53.93
Exotica clathrata	1st	12.68	6.49	1.81	74.78
Exotica clathrata	1st	11.55	6.37	1.61	51.51
Exotica clathrata	1st	13.23	7.15	1.91	92.54
Exotica clathrata	1st	12.06	6.72	1.83	67.34
Exotica clathrata	1st	12.18	6.44	1.72	60.67
Exotica clathrata	1st	12.85	6.86	1.72	66.18
Ctena bella	1st	12.19	11.25	2.92	0.00
Abranda jeanae	1st	9.07	6.50	1.39	19.42
Abranda jeanae	1st	9.51	6.62	1.41	22.92
Abranda jeanae	1st	9.80	6.41	1.45	22.77
Abranda jeanae	1st	11.09	7.71	1.52	34.19
Abranda jeanae	1st	15.89	11.22	2.33	113.86
Abranda jeanae	1st	10.25	6.88	1.54	26.41
Abranda jeanae	1st	10.12	6.86	1.54	27.03
Abranda jeanae	1st	9.48	6.52	1.40	24.45
Exotica clathrata	1st	10.92	5.69	1.35	34.09
Exotica clathrata	1st	8.31	4.60	1.11	15.95
Pinguitellina robusta	1st	11.85	10.34	3.06	184.62
Pinguitellina robusta	1st	7.59	6.10	1.72	0.00
Abranda jeanae	1st	11.20	7.45	1.62	33.69
Abranda jeanae	1st	16.31	11.29	2.42	139.65
Abranda jeanae	1st	10.87	7.38	1.65	33.45
Abranda jeanae	1st	16.23	11.37	2.45	137.11
Abranda jeanae	1st	9.64	6.53	1.38	22.74
Abranda jeanae	1st	13.83	9.69	2.00	81.76
Exotica clathrata	1st	8.63	4.77	1.04	15.31
Pinguitellina robusta	1st	9.99	8.32	2.39	100.54
Pinguitellina robusta	1st	9.09	7.18	2.11	67.70
Pinguitellina robusta	1st	7.83	6.24	1.78	54.66
Tellinella virgata	1st	8.78	5.15	1.18	15.58
Abranda jeanae	1st	10.10	7.04	1.77	25.65
Abranda jeanae	1st	11.31	7.58	1.76	40.03
Abranda jeanae	1st	17.83	12.68	2.55	202.68
Exotica clathrata	1st	7.37	3.71	1.01	11.45
Abranda jeanae	1st	18.87	12.75	2.71	197.75
Abranda jeanae	1st	9.59	6.45	1.26	20.27
Abranda jeanae	1st	11.48	8.05	1.79	38.00
Abranda jeanae	1st	14.29	10.19	1.95	86.91
Abranda jeanae	1st	7.56	5.07	1.20	10.98
Abranda jeanae	1st	7.73	5.16	1.19	6.02
Abranda jeanae	1st	6.96	4.80	1.08	8.85
Abranda jeanae	1st	7.85	5.53	1.14	12.55
Abranda jeanae	1st	5.70	3.78	0.88	5.12
Abranda jeanae	1st	5.86	3.79	0.86	4.36
Abranda jeanae	1st	5.45	3.84	0.81	4.92
Pinguitellina robusta	1st	9.41	7.84	2.29	81.16
Pinguitellina robusta	1st	12.84	10.86	3.53	242.01
