taxonName	siteName	x_mm	y_mm	z_mm	mass_mg
Abranda jeanae	1st	10.99	7.12	1.48	33.00
Abranda jeanae	1st	9.65	6.43	1.30	24.00
Abranda jeanae	1st	7.73	5.47	1.10	13.00
Abranda jeanae	1st	8.43	5.47	1.20	16.00
Abranda jeanae	1st	10.03	6.60	1.29	26.00
Abranda jeanae	1st	7.70	4.80	0.96	11.00
Abranda jeanae	1st	5.81	3.77	1.01	6.00
Pinguitellina robusta	1st	9.85	7.38	2.00	104.00
Pinguitellina robusta	1st	10.19	8.27	2.28	117.00
Pinguitellina robusta	1st	8.90	7.40	2.02	81.00
Pinguitellina robusta	1st	8.62	6.80	1.74	81.00
Pinguitellina robusta	1st	6.20	4.95	1.34	32.00
Pinguitellina robusta	1st	8.63	7.07	1.90	71.00
Pinguitellina robusta	1st	8.46	7.08	1.76	82.00
Pinguitellina robusta	1st	8.73	7.30	1.95	72.00
Exotica clathrata	1st	9.03	5.20	1.25	25.00
Exotica clathrata	1st	10.37	5.58	1.36	34.00
Exotica clathrata	1st	9.14	5.41	1.27	22.00
Exotica clathrata	1st	10.53	6.19	1.38	36.00
Scissulina dispar	1st	10.36	6.63	1.61	38.00
Scissulina dispar	1st	11.69	7.93	1.70	66.00
Abranda jeanae	1st	8.65	5.67	1.02	18.00
Abranda jeanae	1st	7.98	5.57	1.03	14.00
Abranda jeanae	1st	9.88	7.58	1.41	31.00
Abranda jeanae	1st	7.72	5.30	1.08	13.00
Abranda jeanae	1st	7.40	4.89	1.01	11.00
Abranda jeanae	1st	8.72	5.57	0.84	16.00
Abranda jeanae	1st	9.79	6.59	1.32	25.00
Abranda jeanae	1st	8.14	5.35	0.69	14.00
Abranda jeanae	1st	10.42	7.07	1.30	34.00
Abranda jeanae	1st	7.59	4.76	0.90	6.00
Abranda jeanae	1st	6.83	4.50	0.75	7.00
Abranda jeanae	1st	17.07	12.05	2.19	178.00
Abranda jeanae	1st	8.24	5.49	0.97	13.00
Abranda jeanae	1st	9.22	6.01	1.20	23.00
Abranda jeanae	1st	12.85	8.94	1.82	65.00
Abranda jeanae	1st	8.25	5.42	1.16	16.00
Abranda jeanae	1st	9.38	6.40	1.34	20.00
Abranda jeanae	1st	9.21	6.01	1.11	21.00
Abranda jeanae	1st	8.46	5.69	1.17	16.00
Abranda jeanae	1st	10.86	7.24	1.58	35.00
Abranda jeanae	1st	6.09	4.07	0.84	6.00
Abranda jeanae	1st	9.27	6.40	1.32	25.00
Abranda jeanae	1st	7.97	5.48	1.04	14.00
Abranda jeanae	1st	7.03	4.64	0.81	10.00
Abranda jeanae	1st	8.09	5.61	0.95	14.00
Abranda jeanae	1st	10.32	7.16	1.67	30.00
Abranda jeanae	1st	8.31	5.93	1.01	14.00
Abranda jeanae	1st	7.07	5.26	0.94	10.00
Abranda jeanae	1st	7.04	4.63	0.95	10.00
Abranda jeanae	1st	7.87	5.37	1.29	12.00
Abranda jeanae	1st	9.76	6.74	1.37	23.00
Abranda jeanae	1st	6.56	4.37	0.80	7.00
Exotica clathrata	1st	13.33	7.91	1.78	75.00
Pinguitellina robusta	1st	9.14	7.72	1.98	93.00
Pinguitellina robusta	1st	8.19	6.93	1.71	64.00
Pinguitellina robusta	1st	9.23	7.56	2.14	86.00
Pinguitellina robusta	1st	9.73	8.29	2.34	109.00
Abranda jeanae	1st	11.74	8.00	1.64	47.00
Abranda jeanae	1st	7.30	4.91	0.76	10.00
Abranda jeanae	1st	10.43	7.17	1.34	30.00
Abranda jeanae	1st	9.20	6.45	1.08	19.00
Abranda jeanae	1st	8.73	6.16	1.32	17.00
Abranda jeanae	1st	8.63	6.09	1.31	17.00
Scissulina dispar	1st	10.15	6.41	1.46	33.00
Scissulina dispar	1st	10.66	6.85	1.30	20.00
Abranda jeanae	1st	17.26	11.82	2.19	150.29
Abranda jeanae	1st	15.91	10.69	2.25	120.96
Abranda jeanae	1st	12.48	8.60	1.43	55.90
Abranda jeanae	1st	13.69	9.65	1.94	50.38
Exotica clathrata	1st	8.21	4.89	1.49	19.07
Abranda jeanae	1st	15.49	10.73	2.30	120.14
Abranda jeanae	1st	14.23	9.59	1.93	81.34
Abranda jeanae	1st	13.56	9.33	1.71	71.89
Abranda jeanae	1st	14.55	9.95	1.72	92.16
Abranda jeanae	1st	13.37	9.54	1.60	74.12
Abranda jeanae	1st	12.90	8.78	1.59	59.13
Abranda jeanae	1st	10.32	6.66	1.41	27.84
Abranda jeanae	1st	11.14	7.08	1.49	38.60
Abranda jeanae	1st	12.33	8.49	1.51	52.22
Abranda jeanae	1st	15.76	10.80	2.05	118.78
Abranda jeanae	1st	10.75	7.52	1.36	34.01
Abranda jeanae	1st	13.34	9.43	1.80	75.39
Abranda jeanae	1st	17.33	11.72	2.46	105.20
Abranda jeanae	1st	11.68	7.61	1.66	39.12
Abranda jeanae	1st	17.72	11.98	2.58	172.57
Abranda jeanae	1st	15.21	10.53	1.77	101.88
Abranda jeanae	1st	11.56	8.37	1.58	43.59
Abranda jeanae	1st	13.85	9.63	1.74	78.18
Abranda jeanae	1st	16.53	11.66	2.44	143.99
Abranda jeanae	1st	10.58	7.28	1.43	32.71
Abranda jeanae	1st	15.78	11.09	1.39	120.44
Abranda jeanae	1st	13.37	9.13	1.82	69.99
Abranda jeanae	1st	11.68	7.49	1.60	45.18
Abranda jeanae	1st	9.64	6.67	1.10	23.74
Abranda jeanae	1st	9.90	6.80	1.21	24.67
Abranda jeanae	1st	9.64	5.64	1.23	23.70
Abranda jeanae	1st	11.27	7.62	1.61	40.97
Abranda jeanae	1st	14.65	9.67	2.09	55.79
Abranda jeanae	1st	11.08	7.62	1.51	36.85
Abranda jeanae	1st	14.65	10.30	1.87	90.90
Abranda jeanae	1st	10.19	7.13	1.38	29.03
Abranda jeanae	1st	12.39	8.58	1.46	55.80
Abranda jeanae	1st	15.85	11.16	2.26	137.60
Abranda jeanae	1st	16.16	11.36	2.08	131.07
Abranda jeanae	1st	12.99	8.76	1.82	60.30
Abranda jeanae	1st	11.96	8.82	1.71	56.54
Abranda jeanae	1st	13.31	9.67	1.97	68.29
Abranda jeanae	1st	15.53	11.09	2.18	116.80
Abranda jeanae	1st	16.35	11.52	2.05	121.95
Abranda jeanae	1st	10.95	7.62	1.52	36.50
Abranda jeanae	1st	14.45	9.56	1.91	84.22
Abranda jeanae	1st	14.74	10.14	2.20	99.02
Abranda jeanae	1st	17.28	11.62	2.38	161.57
Abranda jeanae	1st	13.60	9.82	2.01	87.70
Abranda jeanae	1st	14.98	10.26	2.14	95.25
Abranda jeanae	1st	12.04	8.61	1.58	26.44
Tellinella virgata	1st	7.78	4.37	0.91	9.77
Abranda jeanae	1st	13.92	9.80	2.00	83.60
Abranda jeanae	1st	12.46	8.81	1.77	63.52
Abranda jeanae	1st	10.67	8.19	1.60	38.72
Abranda jeanae	1st	19.09	13.48	2.83	251.12
Abranda jeanae	1st	18.35	13.15	2.79	248.29
Abranda jeanae	1st	18.29	12.63	2.66	201.89
Abranda jeanae	1st	14.83	10.16	1.93	100.97
Abranda jeanae	1st	13.90	9.72	1.81	83.68
Abranda jeanae	1st	12.91	8.56	1.89	66.56
Abranda jeanae	1st	14.05	9.92	1.91	79.41
Abranda jeanae	1st	12.54	9.05	1.77	56.22
Abranda jeanae	1st	13.85	9.58	1.89	79.28
Abranda jeanae	1st	12.71	9.02	1.72	59.87
Abranda jeanae	1st	11.24	8.03	1.35	42.88
Abranda jeanae	1st	13.34	9.50	1.87	72.86
Abranda jeanae	1st	11.92	7.78	1.18	47.23
Abranda jeanae	1st	15.41	10.85	2.12	117.19
Abranda jeanae	1st	12.66	8.41	1.61	54.72
Abranda jeanae	1st	15.21	10.85	1.99	120.68
Abranda jeanae	1st	11.67	7.99	1.58	44.45
Abranda jeanae	1st	14.12	9.49	2.03	83.57
Abranda jeanae	1st	13.82	9.46	1.93	82.75
Abranda jeanae	1st	15.92	10.61	2.06	122.11
Abranda jeanae	1st	13.38	9.30	1.96	75.47
Abranda jeanae	1st	12.18	8.36	1.69	50.87
Abranda jeanae	1st	13.97	9.51	1.90	84.41
Abranda jeanae	1st	10.20	7.01	1.40	28.25
Abranda jeanae	1st	13.06	8.95	1.58	67.24
Abranda jeanae	1st	13.68	9.45	1.74	76.52
Abranda jeanae	1st	15.68	10.91	2.39	141.97
Abranda jeanae	1st	13.79	9.37	2.00	87.77
Abranda jeanae	1st	16.56	11.51	2.40	159.41
Abranda jeanae	1st	10.79	8.02	1.38	42.40
Abranda jeanae	1st	13.85	9.83	1.98	86.45
Abranda jeanae	1st	18.89	13.14	2.91	257.23
Abranda jeanae	1st	10.58	7.19	1.32	33.52
Abranda jeanae	1st	10.03	7.34	1.23	31.88
Abranda jeanae	1st	9.44	6.66	1.35	23.70
Abranda jeanae	1st	12.93	8.93	1.60	61.21
Abranda jeanae	1st	12.94	8.83	1.73	61.40
Abranda jeanae	1st	10.38	7.32	1.18	26.43
Abranda jeanae	1st	14.46	10.27	1.71	80.46
Abranda jeanae	1st	8.49	6.15	1.12	14.49
Abranda jeanae	1st	16.34	10.96	2.22	119.73
Abranda jeanae	1st	9.80	7.35	1.36	27.15
Abranda jeanae	1st	16.08	10.96	2.38	73.30
Abranda jeanae	1st	20.03	13.99	2.95	140.87
Exotica clathrata	1st	9.69	5.25	1.15	21.91
Exotica clathrata	1st	7.90	4.02	0.97	11.24
Abranda jeanae	1st	18.11	12.66	2.52	197.82
Abranda jeanae	1st	13.89	9.57	1.74	86.07
Abranda jeanae	1st	17.67	12.08	2.51	172.27
Abranda jeanae	1st	13.72	9.50	1.83	73.12
Abranda jeanae	1st	17.34	12.29	2.53	163.02
Abranda jeanae	1st	13.94	9.80	1.86	81.11
Abranda jeanae	1st	13.62	9.51	1.97	79.80
Abranda jeanae	1st	16.54	11.61	2.35	147.10
Abranda jeanae	1st	17.73	12.52	2.34	189.68
Abranda jeanae	1st	12.66	8.82	1.46	55.78
Abranda jeanae	1st	15.05	10.54	1.93	101.56
Abranda jeanae	1st	12.40	8.55	1.51	53.70
Abranda jeanae	1st	13.92	9.43	1.89	74.05
Abranda jeanae	1st	18.22	12.43	2.69	205.06
Abranda jeanae	1st	14.12	9.89	2.08	85.30
Abranda jeanae	1st	13.72	9.91	1.93	82.83
Abranda jeanae	1st	13.27	10.03	2.02	91.82
Abranda jeanae	1st	12.22	7.92	1.42	46.13
Abranda jeanae	1st	12.59	8.76	1.56	54.61
Abranda jeanae	1st	16.72	11.95	2.25	170.10
Abranda jeanae	1st	12.63	8.75	1.99	60.14
Abranda jeanae	1st	12.22	8.24	1.41	52.88
Abranda jeanae	1st	15.57	10.95	2.05	116.46
Abranda jeanae	1st	13.90	9.83	1.78	86.40
Abranda jeanae	1st	18.93	13.65	3.01	260.01
Abranda jeanae	1st	12.59	8.58	1.62	59.46
Abranda jeanae	1st	13.64	9.29	1.72	74.49
Abranda jeanae	1st	17.49	12.29	2.33	189.70
Abranda jeanae	1st	14.52	10.23	1.79	89.74
Abranda jeanae	1st	14.71	9.65	2.07	105.60
Abranda jeanae	1st	7.35	4.92	0.99	9.41
Abranda jeanae	1st	7.87	5.71	1.12	13.05
Abranda jeanae	1st	14.54	9.62	1.76	83.22
Abranda jeanae	1st	14.45	10.24	1.87	98.44
Abranda jeanae	1st	14.20	10.43	2.00	93.97
Abranda jeanae	1st	14.87	10.41	1.79	101.21
Abranda jeanae	1st	14.36	9.63	1.96	90.54
Abranda jeanae	1st	15.09	10.61	1.76	103.40
Exotica clathrata	1st	7.92	4.66	1.32	14.80
Ctena bella	1st	8.49	7.33	1.94	100.52
Abranda jeanae	1st	11.02	7.86	1.60	45.02
Abranda jeanae	1st	16.37	11.20	2.31	141.91
Abranda jeanae	1st	12.92	8.99	1.76	60.13
Abranda jeanae	1st	12.82	8.63	1.57	60.00
Abranda jeanae	1st	13.17	8.95	1.65	68.88
Abranda jeanae	1st	14.63	10.03	2.00	99.45
Abranda jeanae	1st	9.52	6.65	1.25	24.56
Abranda jeanae	1st	11.57	8.43	1.41	54.59
Abranda jeanae	1st	14.34	10.06	1.98	97.50
Abranda jeanae	1st	16.45	11.37	2.21	135.80
Abranda jeanae	1st	12.55	8.98	1.84	66.99
Abranda jeanae	1st	11.40	7.65	1.58	42.38
Abranda jeanae	1st	13.00	8.90	1.71	65.18
Abranda jeanae	1st	8.51	6.26	1.30	20.76
Abranda jeanae	1st	13.06	9.14	1.58	67.19
Abranda jeanae	1st	11.23	7.68	1.49	38.61
Abranda jeanae	1st	12.74	8.41	1.72	64.61
Abranda jeanae	1st	13.84	9.12	1.71	83.63
Abranda jeanae	1st	12.70	8.77	1.41	62.29
Abranda jeanae	1st	12.25	8.60	1.55	55.36
Abranda jeanae	1st	13.41	8.51	1.82	71.66
Abranda jeanae	1st	13.78	9.37	1.95	72.30
Abranda jeanae	1st	7.09	4.85	1.08	9.38
Abranda jeanae	1st	9.20	5.75	1.05	21.01
Abranda jeanae	1st	15.99	11.24	2.36	139.11
Abranda jeanae	1st	12.46	8.46	1.82	55.46
Abranda jeanae	1st	11.19	8.22	1.66	45.62
Abranda jeanae	1st	11.50	7.99	1.58	43.50
Abranda jeanae	1st	11.42	8.28	1.75	52.72
Abranda jeanae	1st	10.70	7.60	1.40	37.65
Abranda jeanae	1st	11.08	7.73	1.59	40.26
Abranda jeanae	1st	12.07	8.55	1.75	56.06
Abranda jeanae	1st	12.81	8.78	1.75	59.27
Abranda jeanae	1st	11.97	8.17	1.71	54.79
Abranda jeanae	1st	12.76	8.85	1.42	56.77
Abranda jeanae	1st	15.94	11.06	2.13	72.95
Abranda jeanae	1st	10.03	6.71	1.36	18.33
Exotica clathrata	1st	14.50	7.92	1.89	78.73
Exotica clathrata	1st	8.22	4.32	1.25	15.80
Exotica clathrata	1st	7.78	4.47	1.20	12.53
Exotica clathrata	1st	8.29	4.39	1.19	14.00
Exotica clathrata	1st	7.75	4.56	1.22	15.54
Exotica clathrata	1st	7.74	4.24	1.19	12.92
Exotica clathrata	1st	7.66	4.39	1.19	13.43
Exotica clathrata	1st	8.77	4.90	1.44	21.29
Abranda jeanae	1st	13.73	9.26	1.92	74.61
Abranda jeanae	1st	11.66	8.42	1.41	49.88
Abranda jeanae	1st	13.06	9.13	1.37	62.28
Abranda jeanae	1st	11.06	7.41	1.57	38.23
Abranda jeanae	1st	10.61	7.42	1.35	37.38
Abranda jeanae	1st	14.15	10.47	2.14	102.97
Abranda jeanae	1st	10.04	7.09	1.28	30.18
Abranda jeanae	1st	14.47	9.85	1.90	81.13
Abranda jeanae	1st	10.09	7.09	1.38	33.06
Abranda jeanae	1st	11.64	8.07	1.49	45.85
Abranda jeanae	1st	12.54	8.34	1.78	63.06
Abranda jeanae	1st	12.46	8.94	1.87	67.40
Abranda jeanae	1st	11.75	8.10	1.41	48.26
Abranda jeanae	1st	13.86	9.25	1.84	84.40
Abranda jeanae	1st	8.70	5.88	0.90	16.86
Abranda jeanae	1st	14.78	10.08	1.79	99.24
Abranda jeanae	1st	12.19	8.62	1.57	57.09
Abranda jeanae	1st	13.06	8.98	1.61	65.50
Abranda jeanae	1st	16.55	11.43	2.09	140.97
Abranda jeanae	1st	10.71	7.30	1.31	33.38
Abranda jeanae	1st	13.56	9.56	1.70	69.23
Abranda jeanae	1st	11.71	7.85	1.47	38.86
Abranda jeanae	1st	12.46	8.35	1.43	54.60
Abranda jeanae	1st	10.11	7.28	1.24	29.90
Abranda jeanae	1st	11.15	7.42	1.35	36.80
Abranda jeanae	1st	11.81	8.34	1.66	49.39
Abranda jeanae	1st	13.97	9.35	1.75	77.47
Abranda jeanae	1st	13.26	9.09	1.73	73.80
Abranda jeanae	1st	7.75	5.55	1.04	10.91
Abranda jeanae	1st	12.82	8.56	1.84	61.43
Abranda jeanae	1st	19.34	13.73	2.91	256.80
Abranda jeanae	1st	13.15	9.21	1.67	57.71
Abranda jeanae	1st	11.60	7.88	1.32	43.23
Abranda jeanae	1st	17.53	11.63	2.27	185.80
Abranda jeanae	1st	15.74	11.36	2.00	135.92
Abranda jeanae	1st	12.13	8.41	1.20	51.20
Abranda jeanae	1st	10.24	6.77	1.31	26.98
Abranda jeanae	1st	12.65	8.76	1.43	57.38
Abranda jeanae	1st	12.36	8.27	1.67	54.13
Abranda jeanae	1st	16.18	11.14	2.18	129.31
Abranda jeanae	1st	12.88	9.18	1.84	63.43
Abranda jeanae	1st	12.39	8.44	1.61	53.09
Abranda jeanae	1st	11.62	8.33	1.63	50.30
Abranda jeanae	1st	14.67	10.00	1.97	95.49
Abranda jeanae	1st	12.96	9.10	1.62	60.55
Abranda jeanae	1st	13.57	9.11	1.75	68.98
Abranda jeanae	1st	12.14	8.43	1.64	54.04
Abranda jeanae	1st	15.58	11.18	1.93	118.12
Abranda jeanae	1st	11.02	7.60	1.58	39.20
Abranda jeanae	1st	11.00	7.61	1.58	41.08
Abranda jeanae	1st	11.61	7.98	1.66	42.24
Abranda jeanae	1st	13.50	9.48	1.90	74.56
Abranda jeanae	1st	8.91	6.18	1.29	20.07
Abranda jeanae	1st	7.04	4.80	0.95	7.15
Abranda jeanae	1st	11.60	8.31	1.50	46.36
Abranda jeanae	1st	12.55	8.67	1.85	63.65
Abranda jeanae	1st	14.37	9.60	1.82	90.62
Abranda jeanae	1st	12.04	8.29	1.55	55.03
Abranda jeanae	1st	12.66	8.69	1.71	60.00
Abranda jeanae	1st	14.21	9.48	2.03	88.78
Abranda jeanae	1st	8.60	5.68	1.29	14.04
Abranda jeanae	1st	7.79	5.46	1.15	10.65
Abranda jeanae	1st	18.32	13.00	3.16	130.73
Abranda jeanae	1st	13.74	9.17	1.76	36.74
Abranda jeanae	1st	13.36	9.33	2.10	31.13
Abranda jeanae	1st	13.46	9.03	1.91	41.72
Abranda jeanae	1st	12.87	9.03	1.93	32.85
Abranda jeanae	1st	12.19	8.34	1.74	26.06
Abranda jeanae	1st	14.88	10.28	2.18	51.01
Abranda jeanae	1st	14.96	10.70	2.15	49.89
Abranda jeanae	1st	10.56	7.30	1.46	14.72
Exotica clathrata	1st	11.20	6.01	1.53	36.50
Exotica clathrata	1st	8.02	4.29	1.24	13.68
Pinguitellina robusta	1st	11.61	9.58	2.66	180.02
Abranda jeanae	1st	18.91	13.09	2.67	222.00
Abranda jeanae	1st	9.27	6.64	1.46	26.00
Abranda jeanae	1st	7.00	4.87	1.13	7.00
Abranda jeanae	1st	9.29	6.77	1.28	23.00
Abranda jeanae	1st	15.73	10.74	2.29	64.00
Abranda jeanae	1st	13.15	9.31	1.82	64.00
Abranda jeanae	1st	18.48	12.98	2.66	215.00
Abranda jeanae	1st	17.65	12.64	2.24	204.00
Abranda jeanae	1st	17.44	12.14	2.31	172.05
Abranda jeanae	1st	15.91	10.76	1.79	131.00
Abranda jeanae	1st	11.56	5.02	1.47	45.00
Abranda jeanae	1st	8.38	4.72	0.85	15.00
Abranda jeanae	1st	9.04	6.33	1.22	21.00
Abranda jeanae	1st	9.12	6.26	1.20	17.25
Abranda jeanae	1st	9.53	6.58	1.03	23.00
Abranda jeanae	1st	10.61	7.37	1.54	33.00
Abranda jeanae	1st	9.29	6.34	1.17	21.00
Abranda jeanae	1st	7.08	4.98	0.94	11.00
Abranda jeanae	1st	8.72	6.25	1.19	19.00
Abranda jeanae	1st	8.34	5.90	1.20	19.00
Abranda jeanae	1st	6.77	4.90	0.92	10.00
Abranda jeanae	1st	7.20	5.28	1.38	11.00
Abranda jeanae	1st	13.01	8.13	1.67	48.00
Abranda jeanae	1st	7.13	5.85	0.98	8.00
Abranda jeanae	1st	7.64	5.11	1.18	10.00
Exotica clathrata	1st	10.34	5.67	1.06	29.00
Abranda jeanae	1st	16.12	10.74	2.17	122.00
Abranda jeanae	1st	12.71	8.20	1.62	57.00
Abranda jeanae	1st	14.44	9.79	1.93	91.00
Abranda jeanae	1st	15.18	10.85	1.93	115.00
Abranda jeanae	1st	15.12	10.68	2.01	114.00
Abranda jeanae	1st	10.88	7.11	1.29	36.00
Abranda jeanae	1st	9.18	6.36	1.15	14.00
Abranda jeanae	1st	7.51	4.83	0.95	13.00
Abranda jeanae	1st	7.60	5.01	1.00	13.00
Abranda jeanae	1st	8.60	5.62	1.26	19.00
Abranda jeanae	1st	6.18	4.21	0.93	8.00
Abranda jeanae	1st	8.15	5.77	1.07	9.00
Ambuscintilla praemium	1st	5.99	4.11	1.16	7.00
Exotica clathrata	1st	8.21	4.24	1.13	14.00
Abranda jeanae	1st	17.90	12.78	2.54	192.00
Abranda jeanae	1st	15.80	10.73	1.93	121.00
Abranda jeanae	1st	18.03	12.91	2.71	205.00
Abranda jeanae	1st	18.06	12.10	2.42	189.00
Abranda jeanae	1st	21.97	15.75	2.68	397.00
Abranda jeanae	1st	16.46	11.16	2.40	130.00
Abranda jeanae	1st	15.36	10.45	2.10	123.00
Abranda jeanae	1st	16.79	11.20	2.23	145.00
Abranda jeanae	1st	11.10	7.79	1.35	40.00
Abranda jeanae	1st	8.74	6.37	1.11	21.00
Abranda jeanae	1st	6.95	5.01	0.72	11.00
Abranda jeanae	1st	6.73	4.69	0.91	9.00
Abranda jeanae	1st	7.21	5.14	1.05	8.00
Abranda jeanae	1st	8.32	5.81	1.20	16.00
Tellinella virgata	1st	9.61	6.12	1.23	27.00
Exotica clathrata	1st	7.49	4.07	1.05	14.00
Exotica clathrata	1st	6.95	3.89	1.14	7.00
Abranda jeanae	1st	4.86	3.27	0.72	5.00
Abranda jeanae	1st	6.89	4.54	0.81	10.00
Exotica clathrata	1st	7.30	3.74	1.00	12.00
Exotica clathrata	1st	7.30	4.10	1.09	12.00
Exotica clathrata	1st	5.80	3.41	0.75	0.35
Abranda jeanae	1st	5.81	4.04	0.84	7.00
Exotica clathrata	1st	6.40	3.43	0.87	7.00
Abranda jeanae	1st	5.78	4.01	0.79	6.00
Pinguitellina robusta	1st	5.88	4.60	1.07	18.00
Abranda jeanae	1st	5.67	3.89	0.95	4.82
Exotica clathrata	1st	6.98	4.27	1.16	13.07
Exotica clathrata	1st	8.02	4.26	1.19	10.79
Pinguitellina robusta	1st	4.62	4.11	0.94	8.46
Exotica clathrata	1st	3.43	2.40	0.52	0.80
Pinguitellina robusta	1st	5.36	4.81	1.05	13.05
Abranda jeanae	1st	5.16	3.46	0.91	3.70
Exotica clathrata	1st	6.40	3.84	0.93	7.21
Exotica clathrata	1st	7.87	4.29	1.24	13.62
Abranda jeanae	1st	4.96	3.57	0.75	3.63
Exotica clathrata	1st	8.49	4.83	1.27	18.92
Abranda jeanae	1st	5.87	4.23	0.82	5.38
Pinguitellina robusta	1st	6.00	4.58	1.11	19.20
Exotica clathrata	1st	6.64	3.77	0.91	7.71
Abranda jeanae	1st	3.84	2.18	0.49	1.60
Exotica clathrata	1st	6.79	3.95	0.90	8.27
Exotica clathrata	1st	7.60	4.13	1.09	9.80
Abranda jeanae	1st	5.75	3.93	0.84	3.62
Pinguitellina robusta	1st	4.91	4.00	1.04	11.65
Abranda jeanae	1st	22.25	16.09	3.43	424.91
Abranda jeanae	1st	21.15	14.75	3.25	318.43
Abranda jeanae	1st	20.37	13.79	3.22	272.27
Abranda jeanae	1st	17.93	12.48	2.84	176.74
Abranda jeanae	1st	15.91	10.81	2.19	120.48
Abranda jeanae	1st	10.42	6.97	1.55	28.08
Tellinella virgata	1st	18.55	11.53	2.17	0.00
Scissulina dispar	1st	13.86	9.10	1.70	46.46
Abranda jeanae	1st	5.68	3.86	0.51	1.91
Abranda jeanae	1st	16.45	11.59	2.29	67.41
Abranda jeanae	1st	8.55	5.68	1.30	12.94
Abranda jeanae	1st	6.99	4.77	1.00	8.42
Scissulina dispar	1st	15.47	10.89	2.16	72.69
Scissulina dispar	1st	15.80	10.35	2.22	76.68
Scissulina dispar	1st	13.55	9.32	1.80	41.32
Scissulina dispar	1st	10.79	6.71	1.46	19.15
Scissulina dispar	1st	8.45	5.19	0.98	7.94
Abranda jeanae	1st	21.53	15.04	3.09	185.72
Abranda jeanae	1st	17.94	13.02	2.47	107.50
Abranda jeanae	1st	16.18	11.23	2.35	93.03
Abranda jeanae	1st	16.22	11.42	1.98	61.36
Abranda jeanae	1st	15.52	10.48	1.86	52.69
Abranda jeanae	1st	9.44	6.34	1.04	9.63
Abranda jeanae	1st	20.03	13.75	2.76	137.66
Abranda jeanae	1st	18.25	12.61	2.79	123.91
Abranda jeanae	1st	15.22	10.06	1.75	60.72
Abranda jeanae	1st	16.55	12.74	2.29	108.42
Abranda jeanae	1st	14.95	9.82	2.16	59.81
Abranda jeanae	1st	13.38	8.75	1.77	45.82
Abranda jeanae	1st	12.97	8.56	1.82	39.06
Abranda jeanae	1st	13.01	8.55	1.98	43.81
Abranda jeanae	1st	12.58	8.04	1.73	33.65
Abranda jeanae	1st	12.05	7.83	1.71	31.58
Abranda jeanae	1st	10.67	6.55	1.46	17.19
Abranda jeanae	1st	10.45	6.37	1.56	17.48
Abranda jeanae	1st	10.55	6.52	1.37	16.82
Abranda jeanae	1st	8.58	5.55	1.22	11.09
Abranda jeanae	1st	14.01	9.48	1.96	51.66
Scissulina dispar	1st	21.31	15.31	2.90	220.39
Scissulina dispar	1st	22.51	15.78	3.08	193.89
Scissulina dispar	1st	21.99	16.11	3.38	248.78
Scissulina dispar	1st	20.75	14.60	3.06	176.55
Scissulina dispar	1st	19.32	13.61	3.08	136.11
Scissulina dispar	1st	18.99	13.55	2.81	143.00
Scissulina dispar	1st	16.04	11.90	2.32	82.41
Scissulina dispar	1st	17.99	12.58	2.32	107.28
Scissulina dispar	1st	17.35	12.03	2.24	91.93
Scissulina dispar	1st	16.31	11.04	2.10	79.54
Scissulina dispar	1st	16.51	11.85	2.21	76.63
Scissulina dispar	1st	16.68	11.59	2.22	90.05
Scissulina dispar	1st	14.54	10.24	1.89	55.66
Scissulina dispar	1st	13.15	9.46	1.68	32.53
Scissulina dispar	1st	12.47	8.29	1.63	24.53
Scissulina dispar	1st	11.64	8.09	1.58	23.40
Scissulina dispar	1st	9.67	6.72	1.03	11.35
Scissulina dispar	1st	8.60	5.92	0.87	8.13
Scissulina dispar	1st	8.88	6.02	0.65	8.22
Scissulina dispar	1st	9.11	5.64	1.22	14.70
Abranda jeanae	1st	21.76	15.20	2.93	200.08
Abranda jeanae	1st	21.55	15.41	2.98	203.84
Abranda jeanae	1st	20.18	13.81	2.63	147.26
Abranda jeanae	1st	0.00	13.18	2.53	89.48
Abranda jeanae	1st	10.88	7.60	1.45	17.29
Abranda jeanae	1st	13.84	0.00	0.00	35.53
Abranda jeanae	1st	10.03	6.75	1.15	12.81
Abranda jeanae	1st	7.38	5.16	0.87	5.26
Scissulina dispar	1st	18.18	11.70	2.70	128.52
Scissulina dispar	1st	15.50	10.19	2.40	94.18
Scissulina dispar	1st	16.46	10.75	2.54	87.70
Scissulina dispar	1st	16.72	10.72	2.42	87.93
Scissulina dispar	1st	13.34	8.50	1.70	37.59
Scissulina dispar	1st	13.58	8.68	1.92	47.70
Scissulina dispar	1st	13.81	9.00	2.03	48.08
Scissulina dispar	1st	11.92	7.81	1.67	32.13
Scissulina dispar	1st	11.62	7.37	1.67	25.46
Scissulina dispar	1st	9.90	6.35	1.35	15.50
Scissulina dispar	1st	8.92	5.52	1.19	9.23
Scissulina dispar	1st	8.42	5.95	1.01	7.96
Abranda jeanae	1st	21.52	15.68	3.01	198.27
Abranda jeanae	1st	20.32	14.76	2.71	188.65
Abranda jeanae	1st	20.47	14.60	2.99	176.61
Abranda jeanae	1st	20.77	14.67	2.92	181.47
Abranda jeanae	1st	16.89	11.79	2.07	81.11
Abranda jeanae	1st	16.57	11.92	2.13	75.12
Abranda jeanae	1st	16.98	11.97	2.17	78.94
Abranda jeanae	1st	14.97	10.49	1.92	54.38
